amharic,english
"እስከ ቅርብ ጊዜ ድረስ ስብስብ, ለዘላለም እንደሚጠፋ ይታሰባል","a collection which, until recently, was thought to be lost forever"
"ሰው, ይህ ይህ ጥሩ ሹም ነው","Man, this is some nice shit"
ይህ ቡድሃ በመታጠቢያ ቤት ውስጥ ጥሩ ይሆናል,That Buddha'd go good in my bathroom
ሄይ. ይህ የአገሬ ታሪክ ነው,Hey. This is the history of my country
በዋጋ ሊተመን የቻይንኛ ባህል,Priceless pieces of Chinese culture
ማንኛውም ነገር ከተበላሸ,If anything gets damaged
ምንም ነገር አይከሰትም ለዚህ ነገር አንዳቸውም አይደሉም,Ain't nothing gonna happen to none of this stuff
እና አሁን እኛ ማለፍ እንችላለን ለልጆቻችን,And now we can pass them on to our children
ያንን ሰው አይቻለሁ በዚያ የቻይና ምግብ ቤት ውስጥ,I seen that guy at that Chinese restaurant
ቆንስላ ሃን ጉንፋን እየዋጋ ነበር ላለፉት ጥቂት ቀናት,Consul Han has been fighting flu for the past few days
ምናልባት እኔ መጨረስ አለብኝ የጀመረው,so perhaps l should finish what he started
ማንም ሰው ቢቆይ አንድ ነገር አግኝተዋል ማጣት. እዚህ ይጠብቁ. ወደ ኋላ ተመልሶ ትመጣለች,"If anybody stay behind, they got something to lose. Wait here. l'll be right back"
ሁለታችንም አገራችን,GRlFFIN peaceful future between our two countries
ልዩነቶችን የበለጠ እናየዋለን እና ተመሳሳይነት,The more we see the differences and similarit
ችግሮች እና ጨዋዎች! መርገም።,Ladies and gentlemen! Damn it
"የሊፒተር መርማሪ ካርተር ከ . . . . መጥተሻ, እዚህ ወደ ታች ገባን","l'm Detective Carter from L.A.P.D. Russ, we got Carter down here"
ሲኦል ምን እየሆነ ነው? እኛ በህንፃው ላይ ስጋት ተቀበልን,What the hell's going on? We just received a threat on the building
ከህንፃው ወጥተው እንጠይቃለን,We ask that you exit the building
በተቻለ ፍጥነት፣ እና እባክዎን አይደናገጡ,"as soon as possible, and please do not panic"
ምን እንዳለው አልሰማሽም? ሹራብዎን ያግኙ እና ሂድ! ሲኦልን ያግኙ! ቦምብ አለ!,Didn't you hear what l said? Get your shit and go! Get the hell out! There's a bomb!
ይህንን አላምንም. ወኪሎቹ ቦታቸውን እንዲይዙ ያድርጉ,I don't believe this. Have the agents hold their positions
"ወለል ሁሉም ሰው ይንከባከባል, ቦታዎን ይይዛል","WHlTNEY Everybody take care, hold your positions"
ሃን ምን እየሆነ ነው? ህንፃውን መውጣቱ!,What is going on? Get out the building!
"እመቤት, ብርጭቆውን ወደ ታች ያኑሩ እና ከዚህ ይውጡ","Lady, put the glass down and get out of here"
"ኑ, ኑ, ኑ!","Come on, come on, come on!"
"ታንታ, ታይታ, ታራቲ. እዚህ ያግኙት","Titty, titty, titty. Get them titties out of here"
አንድ ሰው ካርተር ያስገኛል?,Will somebody grab Carter?
"የ , ስድስት ብሎኮች ውጭ ወደ ልጅዎ ውስጥ ሾው","Consul Han, six blocks of C are wired to your daughter in a car outside"
"ከለውጡ በፊት, አብዛኛዎቹ ይህ ኤግዚቢሽን","Before the changeover, most of this exhibition"
በእጆቹ ውስጥ ነበር አንድ ነጠላ የግል ሰብሳቢ,was in the hands of a single private collector
አብዛኛውን ጊዜ ሕይወቴን ሰርቻለሁ ለማግኘት እና ካታሎግ ለማግኘት,I worked most of my life to acquire and catalog
በዋጋ ሊተመን የማይችል ቁርጥራጮች በፊትህ ታያለህ,these priceless pieces that you see before you
"እና ከዚያ, በአንዱ ውስጥ ወደቀቀቀ","And then, in one fell swoop"
ከእኔ ተወስ ል,it was taken away from me
ነገር ግን ዛሬ ማታ ተሞልቻለሁ,"But tonight, I shall be paid in full"
ይህን ቁልፍ ከተጫነች እሷ ትሞታለች,She dies if l press this button
በቃ ታገስ,Just be patient
የእኔ መጓጓዣ እዚህ በቅርቡ ይመጣል,My transportation will be here shortly
"ሄይ, እኔ እነግርህ ነበር በቀይ ዞን ውስጥ ነበርክ","Hey, I was just gonna tell you you was in a red zone"
በዚህ ቦታ ላይ ያሉ ኮዶች አሉ,There's cops all over this place
ያንን ማድረግ እንደምችል አታውቅም. እጆችዎን ያኑሩ!,You didn't know I could do that. Put your hands up!
እኔ በዚህ ጊዜ እገድልዎታለሁ. እኔ አህያዎን እየቀነሰ ነው!,I ain't gonna kill you this time. I'm just gonna kick your ass!
ስለ ጓደኛዎችዎ ይንገሩኝ,You tell your friends about me
እኛ እርስዎን እየፈለግን ነው. እኔ ከ . . . . ካርተር ነኝ,We've been looking for you. I'm Carter from the L.A.P.D
"ሁሉም ነገር ደህና ነው አሁን ደህና ነው? ወደ እግዚአብሔር አባትህ እወስዳችኋለሁ, እሺ?","Everything is okay now, okay? I'll take you to your daddy, all right?"
"ረስኩት ነገር እኔ አደርጋለሁ ይህንን ቀሚስ እወስዳለሁ. ኖ, አይነካው!","First thing I'll do is take this vest off. No, don't touch it!"
ካጠፋነው ደህንነቱ የተጠበቀ ይሆናል ብለው ያስቡ. አይ። ይፈነዳል እንደሚሉት ሲናገሩ ሰማሁ,l think it'd be safer if we take it off. No. I heard them say it will explode
አይንቀሳቀሱም አይንቀሳቀሱ,Don't Don't move
የት ነሽ፧,Where are you?
"ማንቀሳቀስ የለብዎትም! አቋምዎን ማቅረቢያ, አምላክ ሆይ!","Don't move! Hold your positions, goddamn it!"
ወይዛዝርት እና ጨዋዎች,GRlFFIN Ladies and gentlemen
እኔ ያንን ምሽት እንጠራለን ብለው ያስባሉ,l think we'll call that an evening
እናመሰግናለን እና መልካም ምሽት,Thank you and good night
ለእርስዎ የሆነ ነገር አገኘሁ!,I got something for you!
የሚፈልጉትን ነገር አግኝተዋል,Got something you want
እዚህ ቦምብዎ እዚህ አገኘሁ,I got your bomb right here
ካርተር የሆነ ነገር እንዲነጥቁ ይፈልጋሉ? ?,Wanna blow something up? Huh?
አዝራሩን ይግፉት. በል እንጂ።,Push the button. Come on
አዝራሩን ይግፉት,Push the button
ምን እየሰራህ ነው፧ በቃ መጫወት. አጫውት,What are you doing? l'm just playing. Play along
"ና, ቁልፉን ይግፉት","Come on, push the button"
"አዎ, ና, ቁልፉን ይግፉ","Yeah, come on, push the button"
"ሁሉንም ሰው ይንፉ. አዎ, ሁሉንም ሰው ይንፉ!","Blow everybody up. Yeah, blow everybody up!"
የአላሚማን ቁልፍን መፍጨት! የአላሚማን ቁልፍን መፍጨት!,Push the goddamn button! Push the goddamn button!
በል እንጂ! ሁሉም ሰው ደስ ብሎኛል ስለ አንድ ነገር ስለተነገረ,Come on! You got everybody excited about something being blowed up
እና ትንሽ የፒክ ብሪታንያ አህያዎን ይመልከቱ. በል እንጂ! አዝራሩን ይግፉት!,and look at your little punk British ass. Come on! Push the button!
እባክዎን ይነጋገሩት,"Deal with it, please"
ወዴት ትሄዳለህ?,Where you going?
ቆንስላውን ይሸፍኑ!,Cover the consul!
አይ። አይ። ደህና ነው. እሷ ባለሙያ ነች,No. No. lt's okay. She's a professional
ቀሚሱን መውሰድ አለብዎት,You must take the vest off
"አዎ, አንድ ሰከንድ ስጠኝ. አንድ ሰከንድ ስጠኝ","Yes, just give me a second. Just give me a second"
በዚህ ቀሚስ ላይ ቀስቅሴ አለ,There's a trigger on this vest
እኔ ከዚህ በፊት ይህንን አላደረጉም? በተግባራዊ ክፍሉ ውስጥ ትንሽ የተለየ የተለየ ነው,Haven't you done this before? lt's a little different in the practice room
ሁሉም ሰው ይሸፍናል. ዊትኒ!,Everybody take cover. Whitney!
እዚህ ብዙ ሰዎች እንፈልጋለን,We need more men down here
"እንደገና ይበሉ. ዳንኤል, አንብበሃል ?","Say again. Dan, do you read ?"
"እዚህ የተወሰነ እርዳታ ይፈልጋሉ, ያበላሹ!","Need some help down here, damn it!"
ጆንሰን ጽጌረዳዎች ቀይ ናቸው,Roses are red
ቫዮሌት ሰማያዊ ናቸው,violets are blue
ስኳር ጣፋጭ ነው,Sugar is sweet
እና እርስዎም ናችሁ,and so are you
የርቀት መቆለፊያ አሁንም ሊያጠፋ ይችላል,The remote can still set it off
እሺ እሺ? አዎ።,She okay? Yes
ቦምብ እንዳልሆነ አውቃለሁ!,I know that ain't the bomb!
ያንን ቦምብ ከእኔ አርቅ! ውጭ ወጥቷል!,Get that bomb away from me! Take the bomb outside!
ውጭ ወጣ,Take the bomb outside
"በዚያ መንገድ ሂድ, በዚያ መንገድ ሂድ. ደህና።","You go that way, l go that way. All right"
ወዴት እየሄድክ ነው፧,Where are you going?
እኔ በጣሪያው ላይ. ሮጀር,Meet me on the roof. Roger
ካርተር ሰው አትንቀሳቀስ,"Don't move, man"
"አዎ, ዎን እየፈለግኩ ነበር ጣፋጭ እና ጣፋጭ የዶሮ አህያ","Yeah, l been looking for your sweet and sour chicken ass"
ወንዶች ልጆችሽ አሁን አይኖሩም. የት ናቸው? አንተ ብቻህን,Your boys ain't here now. Where they at? You all alone
እሱን ይገድሉት. ከፊት ለፊቱ,l kill him. Go ahead
አዎ? እሱን እንኳን አይወዱም. ሂድ,Yeah? l don't even like him. Go
ጠመንጃዎን ወደታች ያስገቡ,Put your gun down
እንደ ሰው ትግል,Fight like a man
ምን ይላሉ? እንደ ሰው ያለ ሰው,What you say? Fight like a man
እንደ ሰው ትግል?,Fight like a man?
"እሺ እሺ, አህያዎን እመርጣለሁ. ከዚያ አህያዎን እስር ቤት እስር ቤት እንድወስድ እፈልጋለሁ","All right, l'm gonna kick your ass. Then l'm gonna take your ass to jail"
"ና, ጠመንጃውን ወደታች ያስገቡ","Come on, put the gun down"
"ሰው ሆይ, አጥፋ. ሞተሃል","Wipe yourself off, man. You're dead"
"እግዚአብሔር እናመሰግናለን,","Thank you, God"
"ኦህ, ሹት. ኦህ, ሹት","Oh, shit. Oh, shit"
ማን ነው. እንደሞተ ታውቃለህ,Whoo. You know he dead
እገዛ! የሆነ ነገር ያድርጉ!,Help! Do something!
"ሄይ, ቀዝቅዞ ሰው!","Hey, be cool, man!"
ከእንግዲህ መያዝ አልችልም!,I can't hold on anymore!
ለአንድ ሰዓት ያህል ይንጠለጠሉ. አምቡላንስ እሄዳለሁ,Hang on for about an hour. I'm gonna go get the ambulance
"ምን እየሰራህ ነው፧ ሰው ሆይ, ወደ ኋላ ተመልሶ ትመጣለች","What are you doing? Hang on, man. l'll be right back"
ከስተሃል! ገና እየተጫወተ ነበር,Carter! l was just playing
አመሰግናለሁ! አመሰግናለሁ!,Thank you! Thank you!
ምን ትሠራለህ? ልክ ጨዋ ነበር,What the hell you doing? l was just being polite
"ደህና, በሚቀጥለው ጊዜ, ለውሶቼ ትሑት ሁን","Well, next time, be polite to my nuts"
ደህና ነህ?,Are you all right?
ሁሉንም ነገር እገምታለሁ,I owe you everything
ጓደኛዎ ብቻ,Only your friendship
እዚህ ማን ነው? ኡአር,Look who's here. Unh
ለምን ያህል ጊዜ ወሰደህ?,What took you so long?
ሊ ይህ የአንተ ነው ብዬ አስባለሁ,I think this belongs to you
ከእኔ ጋር መምጣት ያለብዎት ይመስለኛል,I think you should come with me
ከስራ ሲወጡ በአውሮፕላኑ ውስጥ ይግቡ. በነጻ ይበርራሉ,Get on the plane when you get off work. You fly for free
", ካርተር. አዶሾችን ለማስፋት እየሞከረ ነው","Hey, Carter. l'm just trying to expand my horizons"
ትንሽ ትንሽ. ዓለምን ይመልከቱ. የተሰቃዩ,Travel a little bit. See the world. Carter
እኔ ከየህዬ ጋር ነኝ. በእረፍት እሄዳለሁ,"I'm through with y'all, man. I'm gonna go on vacation"
አሁን እዚያ ይያዙት. እኛ እየመጣን ነበር,"Now, hold on there. We were just coming by"
ምን ያህል ታላቅ ሥራ ሊነግርዎት ነው ትናንት አደረግሽ,to tell you what a great job you did yesterday
ሲመለሱ እና ሲመለሱ እህስ ይሆናል የ እርስዎን እየጠበቀዎት ነው,"And when you come back, there's gonna be an FBl badge waiting for you"
ከባድ ነው? ኦህ አዎ አዎ,"You serious? WHlTNEY Oh, yeah"
"ሰው, ሰው, መጫወት አትጫወት. አይ።","Come on, man, don't be playing. No"
ምን ማለት እንዳለብኝ አላውቅም. እንደ ህልም ነው እንደ ህልም ነው,I don't know what to say. It's like a dream come true
ምንም እንኳን አንድ ሀሳብ አለኝ. አንድ ሀሳብ አገኘሁ,"I got an idea, though. l got an idea"
ለምን ያንን ባጅ አይወስዱም,Why don't y'all take that badge
እና አህያዎን አሽኑ?,and shove it up your ass?
ሁሉም በአህያዎ ውስጥ. እኔ . . .,All up in your ass. I'm L.A.P.D
የመጀመሪያ ክፍል. ወድጄዋለሁ። ይህ ጥብቅ ነው,First class. I like this. This is tight
"ጃኬትዎን, ጌታዎን መውሰድ ይችላሉ?","Can l take your jacket, sir?"
"ጃኬቴ? አይሆንም, አይሆንም. ምንም እንኳን ይህንን ቦርሳ መውሰድ ይችላሉ","My jacket? No, no. You can take this bag, though"
እዴት ነህ፧ እንደአት ነው፧,How you doing? What's up?
"ሰው ሆይ, ምን ሆነ?","What's up, man?"
ለመሄድ ዝግጁ ነዎት? አዎ,You ready to go? Yep
አንዳንድ ኦቾሎኒ ልሰጥዎ እችላለሁን?,May I offer you some peanuts?
ቻይንኛ እንደምትናገር በጭራሽ አልነገርከኝም,You never told me you spoke Chinese
"ይህ አሪፍ, ሰው ነው. እኔን መፍቀድ ወደ ሆንግ ኮንግ ይሂዱ","This is cool, man. Han's letting me go to Hong Kong with you"
በአምስት ዓመት ውስጥ ለእረፍት ጊዜ አልነበሩም. እኛ በ ውስጥ እንስት,l ain't been on no vacation in five years. We can hang in my crib
አንድ ባልና ሚስት ቻይንኛ ሴት ልጆች ሊያሳዩኝ ይችላሉ,You can show me a couple Chinese girls
ለሁለት ሳምንቶች ምንም ፖሊስ አይሰራም? ይህ በረራ ለምን ያህል ጊዜ ነው?,No police work for two weeks? How long this flight?
የዘር ሰዓታት. ደም አፍርሶ?,Fifteen hours. Fifteen hours?
ከ ሰዓታት ውስጥ ምን እናድርግ?,What are we gonna do for hours?
"ሲኦል, አይ! መጋቢ! አዎ, ጥሩ ምንድነው?","Oh, hell, no! Stewardess! Huh, what is good for?"
"ሰልፍ, ሌላ መቀመጫ ያግኙኝ! ምንም ነገር የለም","Stewardess, get me another seat! Absolutely nothing"
"አድምጠኝ, አዎ!","Listen to me, y'all!"
አይንቀሳቀስ! ፈገግ አይልም!,Don't move! Don't smile!
ስለ ሴት ልጅዎ ይህ ምንድነው?,What is this shit about your daughter?
ሃምሳ ሚሊዮን ዶላር? እርስዎ ያገኙት ማን ነው?,"Fifty million dollars? Who you think you got, Kelsey Clinton?"
"ሃምሳ ሚሊዮን ዶላር? ማንን ያስባሉ እርስዎ ተገኝተዋል, ኬልሲ መስመሩ ምንድነው?","Fifty million dollars? Who you think you got, Kelsey What's the line?"
ሃምሳ ሚሊዮን ዶላር? እርስዎ ያገኙት ይመስላቸዋል ቼልሲ ወይም ኬልሴይ?,Fifty million dollars? You think you got ls it Chelsea or Kelsey?
"ሃምሳ ሚሊዮን ዶላር? ማን እንደደረስዎት ያስባሉ, ቼልሲ ካርተር? ሃምሳ ሚሊዮን ዶላር?","Fifty million dollars? Who you think you got, Chelsea Carter? Fifty million dollars?"
"ማን እንደደረስዎት ያስባሉ, ቼልሲ ግሬሜመር ? ቼልሲ","Who you think you got, Chelsea Grammer ? Chelsea"
ቼልሴሲ ክሊንተን እንዳገኙ አስብ?,Think you got Chelsea Clinton?
ሚሊዮን? ማን እንደደረሱ ይመስልዎታል? ቼልሴሲ ክሊንተን?,"million? Who do you think you got, Chelsea Clinton?"
እንዲናገር ያቆዩት,Keep him talking
ተቆር .ል. ወደ መጀመሪያው ይመለሱ. እሱ ነው? ቼልሲ አገኘሁት?,Cut. Go back to the beginning. Was that it? Chelsea Did I get it?
ይህ አስቂኝ ቀልድ ነው. አህያዎን እንደ እኔ አውቃለሁ!,This is a fucking joke. Show me your ass!
ካርተር አህያዎን ያሳዩ? የ ግብረ ሰዶማዊ,Show your ass? Y'all's the gayest
"ሌሎች ነገሮችን ያውቃሉ, ግን ስሙን አታውቅም?","You know that other stuff, but you don't know his name?"
ሰዎች ያፀዳል,people tell me shit
ለእርስዎ ምን ችግር አለው? ሄህ. ሰው,"What's wrong with you? Heh, heh. Man"
የእኔ አባቴ አንድ ጊዜ አየ ጥይት,My daddy once caught Catch a bullet
ጥይት ጥይት ጥይት ይያዙ ጥይት ይያዙ,Caught a bullet Catch a bullet Caught a bullet
አባቴ አንድ ጥይት ተያዘ በእሱ እጅ,My daddy one caught a bullet by his bare hand
በዚህ ውስጥ ያለው ክብር ምንድነው?,What's the honor in that?
አባትዎን ያምናሉ ሕይወቱን እያባከነ,You believe your father wasting his life
እነሱ መሆን የለባቸውም ቆሻሻ,They must not Coo Bleh
"እዚያ ምንም ችግር አለ, እዚያ ውስጥ, እንደ . .","Anything goes wrong, you bust in there, act like you're L.A.P. Blah, blah"
እንግሊዝኛ መናገር አይችልም,He cannot speak English
"ሰው, ይህ አሪፍ ነው, ወደ ሆንግ ኮንግ የተሰቀለው","Man, this is cool, the hung sending us to Hong Kong"
ምን መስመር ነው?,What's that line?
"እነሆ, ምን ያህል አስቸጋሪ ነው? የእኔ እንግሊዝኛ?","See, how difficult is that? My English?"
"ምንም እንኳን ሳይቀር ሶስት ቃላት, ቻይንኛ ማለት አይችልም. እኔ ጥቂት ምሳ","He even cannot say three words, Chinese. Offer me some lunch"
ትንሽ ምሳ ይፈልጋሉ? ጃኪ,"You need some lunch? l got it before, Jackie"
"ይመልከቱ? አሁን ምን ያህል አስቸጋሪ እንደሆንኩ ያውቃሉ. ሃ, ሃ, ሃ","See? Now you know how difficult l am. Ha, ha, ha"
"በጃኪ. ሃ, ሃ, ሀ","Look at Jackie. Ha, ha, ha"
